pozisyon,sirket,sehir,aciklama,gereksinimler
Frontend Developer,WebZone,Eskişehir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi"
Python Geliştiricisi,Mobilify,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Veri Analisti,DeepAI,Bursa,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Web Geliştirici,DataTech,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Makine Öğrenmesi Uzmanı,WebZone,İzmir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Python Geliştiricisi,Techsoft,İzmir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Veri Analisti,BüyükVeri Ltd.,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Frontend Developer,BüyükVeri Ltd.,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,WebZone,İzmir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Web Geliştirici,KodaYazılım,Bursa,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Makine Öğrenmesi Uzmanı,BüyükVeri Ltd.,Gaziantep,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe"
Python Geliştiricisi,DataTech,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Frontend Developer,Mobilify,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi"
Frontend Developer,WebZone,Antalya,Belirtilmemiş,Belirtilmemiş
Makine Öğrenmesi Uzmanı,Mobilify,Kocaeli,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Java Yazılım Mühendisi,Techsoft,Ankara,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık"
Frontend Developer,Techsoft,Antalya,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,WebZone,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Problem çözme becerisi, Analitik düşünme yeteneği"
Java Yazılım Mühendisi,KodaYazılım,İzmir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,DataTech,İstanbul,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,Mobilify,Eskişehir,Belirtilmemiş,Belirtilmemiş
Frontend Developer,WebZone,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Java Yazılım Mühendisi,Techsoft,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Veri Mühendisi,BüyükVeri Ltd.,Eskişehir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Veri Mühendisi,Techsoft,İzmir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Web Geliştirici,Techsoft,Bursa,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Makine Öğrenmesi Uzmanı,KodaYazılım,Bursa,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Analitik düşünme yeteneği"
Web Geliştirici,Techsoft,Ankara,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık"
Python Geliştiricisi,WebZone,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,BüyükVeri Ltd.,İstanbul,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Frontend Developer,BüyükVeri Ltd.,Antalya,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,KodaYazılım,İzmir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Frontend Developer,Techsoft,Gaziantep,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık"
Frontend Developer,Techsoft,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Problem çözme becerisi"
Veri Mühendisi,VeriPlus,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Makine Öğrenmesi Uzmanı,DataTech,Antalya,Belirtilmemiş,Belirtilmemiş
Makine Öğrenmesi Uzmanı,KodaYazılım,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Python Geliştiricisi,Techsoft,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık"
Java Yazılım Mühendisi,WebZone,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Veri Mühendisi,BüyükVeri Ltd.,Ankara,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği"
Frontend Developer,KodaYazılım,Eskişehir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık"
Web Geliştirici,BüyükVeri Ltd.,İstanbul,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği"
Mobil Uygulama Geliştiricisi,Mobilify,Gaziantep,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği"
Veri Analisti,BüyükVeri Ltd.,Bursa,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,VeriPlus,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Frontend Developer,DeepAI,Gaziantep,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Web Geliştirici,Techsoft,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Veri Mühendisi,DeepAI,Gaziantep,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Frontend Developer,DataTech,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık"
Python Geliştiricisi,WebZone,Antalya,Belirtilmemiş,Belirtilmemiş
Veri Mühendisi,Mobilify,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,VeriPlus,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği"
Web Geliştirici,KodaYazılım,Eskişehir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,Techsoft,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,DataTech,İzmir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,DeepAI,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Python Geliştiricisi,Techsoft,Eskişehir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Problem çözme becerisi, Analitik düşünme yeteneği"
Frontend Developer,KodaYazılım,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Web Geliştirici,BüyükVeri Ltd.,İzmir,Belirtilmemiş,Belirtilmemiş
Frontend Developer,DeepAI,Eskişehir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Python Geliştiricisi,VeriPlus,İstanbul,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,WebZone,İzmir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Java Yazılım Mühendisi,Mobilify,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,Mobilify,Eskişehir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,KodaYazılım,Kocaeli,Belirtilmemiş,Belirtilmemiş
Python Geliştiricisi,Mobilify,İstanbul,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi"
Web Geliştirici,VeriPlus,Eskişehir,Belirtilmemiş,Belirtilmemiş
Web Geliştirici,BüyükVeri Ltd.,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Analitik düşünme yeteneği"
Java Yazılım Mühendisi,WebZone,İstanbul,Belirtilmemiş,Belirtilmemiş
Python Geliştiricisi,Techsoft,Ankara,Belirtilmemiş,Belirtilmemiş
Frontend Developer,DataTech,İzmir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Makine Öğrenmesi Uzmanı,BüyükVeri Ltd.,Bursa,Belirtilmemiş,Belirtilmemiş
Python Geliştiricisi,Techsoft,Bursa,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Problem çözme becerisi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi"
Veri Mühendisi,KodaYazılım,İzmir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık"
Makine Öğrenmesi Uzmanı,DeepAI,Antalya,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Java Yazılım Mühendisi,DataTech,İstanbul,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Problem çözme becerisi"
Makine Öğrenmesi Uzmanı,KodaYazılım,İzmir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Frontend Developer,WebZone,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,DeepAI,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Veri Analisti,DataTech,Kocaeli,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi"
Veri Mühendisi,KodaYazılım,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe"
Mobil Uygulama Geliştiricisi,WebZone,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Problem çözme becerisi"
Frontend Developer,KodaYazılım,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Veri Analisti,Techsoft,İzmir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,BüyükVeri Ltd.,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Problem çözme becerisi, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Veri Analisti,WebZone,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Mobil Uygulama Geliştiricisi,Mobilify,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Makine Öğrenmesi Uzmanı,Techsoft,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Frontend Developer,DeepAI,Antalya,Belirtilmemiş,Belirtilmemiş
Mobil Uygulama Geliştiricisi,VeriPlus,Kocaeli,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık"
Web Geliştirici,DeepAI,Kocaeli,Belirtilmemiş,Belirtilmemiş
Veri Analisti,Mobilify,İstanbul,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Makine Öğrenmesi Uzmanı,KodaYazılım,Bursa,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Frontend Developer,Mobilify,İzmir,Belirtilmemiş,Belirtilmemiş
Java Yazılım Mühendisi,KodaYazılım,Eskişehir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Python Geliştiricisi,Mobilify,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi"
Python Geliştiricisi,Techsoft,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Problem çözme becerisi, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak"
